OP: 2  
node: 5  
Multiplex: 2  
vehicle: 5  
version dump: 10 
Status: 7  
Step: 11 
Version: 2.07.00 ÿÿÿÿÿÿ
//----------
Diag: 0x742, 0x02, 0x10, 0xB0, 0xFF, 0xFF, 0xFF, 0xFF, 0xFF

Node: 0x702, 0x02, 0x50, 0xB0, 0xFF, 0xFF, 0xFF, 0xFF, 0xFF

Diag: 0x742, 0x02, 0x21, 0x80, 0xFF, 0xFF, 0xFF, 0xFF, 0xFF

Node: 0x702, 0x10, 0x3A, 0x61, 0x80, 0x49, 0x4B, 0x30, 0x30

Diag: 0x742, 0x30, 0x08, 0x00, 0xFF, 0xFF, 0xFF, 0xFF, 0xFF

Node: 0x702, 0x21, 0x33, 0x37, 0x38, 0x36, 0x38, 0x30, 0x20

Node: 0x702, 0x22, 0x20, 0x43, 0x52, 0x33, 0x38, 0x32, 0x31

Node: 0x702, 0x23, 0x30, 0x37, 0x30, 0x31, 0x20, 0x20, 0x43

Node: 0x702, 0x24, 0x52, 0x4F, 0x55, 0x53, 0x45, 0x46, 0x41

Node: 0x702, 0x25, 0x4D, 0x2D, 0x48, 0x4C, 0x03, 0x00, 0x46

Node: 0x702, 0x26, 0x41, 0x4D, 0x2D, 0x31, 0x33, 0x2F, 0x31

Node: 0x702, 0x27, 0x32, 0x2F, 0x31, 0x39, 0x03, 0x01, 0x05

Node: 0x702, 0x28, 0x02, 0x20, 0x13, 0xFF, 0xFF, 0xFF, 0xFF

Diag: 0x742, 0x02, 0x21, 0xFE, 0xFF, 0xFF, 0xFF, 0xFF, 0xFF

Node: 0x702, 0x10, 0x10, 0x61, 0xFE, 0x00, 0x02, 0x05, 0x02

Diag: 0x742, 0x30, 0x03, 0x02, 0xFF, 0xFF, 0xFF, 0xFF, 0xFF

Node: 0x702, 0x21, 0x20, 0x13, 0x00, 0x00, 0x01, 0x30, 0x20

Node: 0x702, 0x22, 0x20, 0x43, 0x52, 0xFF, 0xFF, 0xFF, 0xFF

Diag: 0x742, 0x02, 0x27, 0x81, 0xFF, 0xFF, 0xFF, 0xFF, 0xFF

Node: 0x702, 0x22, 0x20, 0x43, 0x52, 0xFF, 0xFF, 0xFF, 0xFF

Node: 0x702, 0x06, 0x67, 0x81, 0x6F, 0xF7, 0xA3, 0xFA, 0xFF

Diag: 0x742, 0x06, 0x27, 0x82, 0x2C, 0x00, 0x26, 0xFD, 0xFF

Node: 0x702, 0x03, 0x7F, 0x27, 0x82, 0xFF, 0xFF, 0xFF, 0xFF

Diag: 0x742, 0x02, 0x3E, 0x01, 0xFF, 0xFF, 0xFF, 0xFF, 0xFF

Node: 0x702, 0x01, 0x7E, 0xFF, 0xFF, 0xFF, 0xFF, 0xFF, 0xFF

Diag: 0x742, 0x02, 0x3E, 0x01, 0xFF, 0xFF, 0xFF, 0xFF, 0xFF

Node: 0x702, 0x01, 0x7E, 0xFF, 0xFF, 0xFF, 0xFF, 0xFF, 0xFF

Diag: 0x742, 0x02, 0x3E, 0x01, 0xFF, 0xFF, 0xFF, 0xFF, 0xFF

Node: 0x702, 0x01, 0x7E, 0xFF, 0xFF, 0xFF, 0xFF, 0xFF, 0xFF

Diag: 0x742, 0x02, 0x3E, 0x01, 0xFF, 0xFF, 0xFF, 0xFF, 0xFF

Node: 0x702, 0x01, 0x7E, 0xFF, 0xFF, 0xFF, 0xFF, 0xFF, 0xFF

Diag: 0x742, 0x02, 0x3E, 0x01, 0xFF, 0xFF, 0xFF, 0xFF, 0xFF

Node: 0x702, 0x01, 0x7E, 0xFF, 0xFF, 0xFF, 0xFF, 0xFF, 0xFF

Diag: 0x742, 0x02, 0x3E, 0x01, 0xFF, 0xFF, 0xFF, 0xFF, 0xFF

Node: 0x702, 0x01, 0x7E, 0xFF, 0xFF, 0xFF, 0xFF, 0xFF, 0xFF

Diag: 0x742, 0x02, 0x3E, 0x01, 0xFF, 0xFF, 0xFF, 0xFF, 0xFF

